t,wrist_pitch_servo,wrist_roll_servo,THUMB_servo,INDEX_servo,MIDDLE_servo,RING_servo,PINKY_servo
1771502456.9755187,65.0,87.0,34.0,110.0,86.0,110.0,73.0
1771502457.007435,65.0,87.0,33.0,110.0,86.0,110.0,73.0
1771502457.0395026,64.0,87.0,31.0,109.0,86.0,110.0,73.0
1771502457.072503,64.0,87.0,29.0,109.0,85.0,110.0,73.0
1771502457.1195376,64.0,87.0,26.0,109.0,85.0,110.0,73.0
1771502457.153883,64.0,87.0,24.0,109.0,85.0,110.0,73.0
1771502457.1884708,64.0,87.0,22.0,109.0,85.0,110.0,73.0
1771502457.2173157,63.0,87.0,21.0,109.0,85.0,110.0,73.0
1771502457.2470071,63.0,87.0,18.0,109.0,85.0,110.0,73.0
1771502457.2840369,63.0,87.0,16.0,109.0,85.0,110.0,74.0
1771502457.3122885,63.0,87.0,15.0,110.0,85.0,110.0,74.0
1771502457.343828,63.0,86.0,14.0,110.0,85.0,110.0,74.0
1771502457.3758283,63.0,87.0,11.0,110.0,86.0,110.0,74.0
1771502457.4078448,63.0,87.0,10.0,110.0,86.0,110.0,74.0
1771502457.440482,63.0,87.0,9.0,110.0,86.0,110.0,74.0
1771502457.4708796,63.0,87.0,7.0,110.0,86.0,110.0,74.0
1771502457.5066519,63.0,87.0,7.0,110.0,86.0,110.0,75.0
1771502457.5518594,63.0,87.0,5.0,110.0,86.0,110.0,75.0
1771502457.5848603,63.0,87.0,4.0,110.0,86.0,110.0,75.0
1771502457.615863,63.0,87.0,3.0,110.0,86.0,110.0,75.0
1771502457.6469545,63.0,87.0,4.0,110.0,86.0,110.0,75.0
1771502457.6799517,62.0,87.0,4.0,110.0,86.0,110.0,75.0
1771502457.7129507,62.0,87.0,3.0,110.0,86.0,110.0,74.0
1771502457.744548,62.0,87.0,3.0,110.0,86.0,110.0,74.0
1771502457.776754,62.0,87.0,3.0,110.0,86.0,110.0,74.0
1771502457.827676,62.0,87.0,4.0,110.0,86.0,110.0,74.0
1771502457.860225,62.0,87.0,3.0,110.0,86.0,110.0,74.0
1771502457.8912287,62.0,87.0,3.0,110.0,86.0,110.0,74.0
1771502457.9232302,62.0,87.0,3.0,110.0,85.0,110.0,74.0
1771502457.9547644,62.0,87.0,4.0,110.0,85.0,110.0,74.0
1771502457.9858394,63.0,87.0,5.0,110.0,85.0,110.0,74.0
1771502458.0168374,63.0,87.0,6.0,110.0,85.0,110.0,74.0
1771502458.0483348,63.0,87.0,7.0,110.0,85.0,110.0,74.0
1771502458.081502,64.0,87.0,8.0,110.0,85.0,110.0,74.0
1771502458.112494,65.0,87.0,14.0,110.0,85.0,110.0,74.0
1771502458.1450088,66.0,87.0,19.0,110.0,85.0,110.0,73.0
1771502458.1760156,68.0,88.0,28.0,109.0,85.0,110.0,74.0
1771502458.2080157,68.0,88.0,32.0,109.0,85.0,110.0,73.0
1771502458.241534,68.0,89.0,32.0,108.0,85.0,110.0,73.0
1771502458.272535,68.0,89.0,30.0,108.0,85.0,110.0,73.0
1771502458.3040168,67.0,89.0,27.0,107.0,85.0,110.0,73.0
1771502458.3367097,67.0,88.0,28.0,106.0,85.0,110.0,73.0
1771502458.3706763,67.0,89.0,27.0,105.0,85.0,110.0,73.0
1771502458.4167576,66.0,90.0,25.0,103.0,86.0,110.0,73.0
1771502458.447302,66.0,91.0,25.0,103.0,86.0,109.0,73.0
1771502458.4793038,67.0,91.0,22.0,104.0,87.0,110.0,73.0
1771502458.5128267,67.0,92.0,16.0,104.0,88.0,110.0,74.0
1771502458.5443683,67.0,93.0,14.0,103.0,88.0,110.0,74.0
1771502458.5783696,66.0,93.0,11.0,99.0,86.0,107.0,72.0
1771502458.6123772,66.0,93.0,11.0,97.0,85.0,106.0,71.0
1771502458.6438928,65.0,93.0,9.0,96.0,84.0,106.0,70.0
1771502458.6747653,64.0,93.0,9.0,94.0,81.0,104.0,68.0
1771502458.7057734,63.0,93.0,9.0,88.0,77.0,100.0,64.0
1771502458.7382956,61.0,93.0,9.0,80.0,72.0,96.0,60.0
1771502458.7692957,60.0,93.0,12.0,71.0,66.0,91.0,57.0
1771502458.8002954,60.0,93.0,26.0,61.0,61.0,87.0,56.0
