t,wrist_pitch_servo,wrist_roll_servo,THUMB_servo,INDEX_servo,MIDDLE_servo,RING_servo,PINKY_servo
1771501725.7016656,79.0,111.0,0.0,88.0,86.0,110.0,98.0
1771501725.7345076,79.0,111.0,0.0,89.0,86.0,110.0,98.0
1771501725.7645035,79.0,111.0,0.0,87.0,87.0,110.0,99.0
1771501725.797045,79.0,110.0,0.0,87.0,87.0,110.0,98.0
1771501725.8290474,77.0,110.0,0.0,86.0,88.0,110.0,97.0
1771501725.8670309,76.0,109.0,0.0,86.0,89.0,110.0,96.0
1771501725.8993046,75.0,109.0,0.0,84.0,89.0,110.0,96.0
1771501725.9303896,76.0,108.0,0.0,86.0,89.0,110.0,96.0
1771501725.9634066,77.0,110.0,0.0,86.0,88.0,110.0,98.0
1771501726.0055435,78.0,109.0,0.0,87.0,87.0,110.0,98.0
1771501726.0416586,80.0,111.0,0.0,89.0,85.0,110.0,100.0
1771501726.074194,83.0,114.0,0.0,93.0,82.0,110.0,100.0
1771501726.10421,87.0,116.0,0.0,97.0,78.0,110.0,100.0
1771501726.1371956,88.0,117.0,0.0,95.0,77.0,110.0,100.0
1771501726.168718,87.0,117.0,0.0,96.0,78.0,110.0,100.0
1771501726.2007957,87.0,117.0,0.0,95.0,78.0,110.0,100.0
1771501726.2327907,87.0,117.0,0.0,95.0,79.0,110.0,100.0
1771501726.26279,88.0,117.0,0.0,95.0,78.0,110.0,100.0
1771501726.2980435,88.0,118.0,0.0,95.0,77.0,110.0,100.0
1771501726.3250437,88.0,118.0,0.0,95.0,76.0,110.0,100.0
1771501726.3600507,89.0,119.0,0.0,95.0,76.0,110.0,100.0
1771501726.39121,89.0,119.0,0.0,95.0,76.0,110.0,100.0
1771501726.4382186,88.0,118.0,0.0,95.0,77.0,110.0,100.0
1771501726.4706273,88.0,118.0,0.0,94.0,77.0,110.0,100.0
1771501726.5036328,88.0,118.0,0.0,95.0,76.0,110.0,100.0
1771501726.5356202,87.0,117.0,0.0,95.0,77.0,110.0,100.0
1771501726.5656426,89.0,118.0,0.0,95.0,76.0,110.0,100.0
1771501726.5971708,89.0,117.0,0.0,95.0,78.0,110.0,100.0
1771501726.6301684,88.0,118.0,0.0,96.0,77.0,110.0,100.0
1771501726.6611967,88.0,117.0,0.0,96.0,77.0,110.0,100.0
1771501726.6938324,86.0,116.0,0.0,94.0,79.0,110.0,100.0
1771501726.7288246,86.0,115.0,0.0,93.0,80.0,110.0,100.0
1771501726.7615297,84.0,115.0,0.0,90.0,81.0,110.0,100.0
1771501726.7921598,87.0,116.0,0.0,93.0,79.0,110.0,100.0
1771501726.8241577,84.0,116.0,0.0,86.0,83.0,110.0,100.0
1771501726.8681984,84.0,114.0,0.0,91.0,82.0,110.0,100.0
1771501726.9047763,82.0,115.0,0.0,84.0,85.0,110.0,100.0
1771501726.9347212,81.0,115.0,0.0,83.0,85.0,110.0,100.0
1771501726.9647162,80.0,115.0,0.0,83.0,86.0,110.0,100.0
1771501726.997299,80.0,114.0,0.0,82.0,87.0,110.0,99.0
1771501727.0303187,82.0,115.0,0.0,84.0,86.0,110.0,100.0
1771501727.062301,80.0,113.0,0.0,82.0,87.0,110.0,98.0
1771501727.0958955,80.0,114.0,0.0,83.0,86.0,110.0,100.0
1771501727.1258967,80.0,113.0,0.0,82.0,87.0,110.0,99.0
1771501727.162904,81.0,114.0,0.0,90.0,85.0,110.0,100.0
1771501727.197376,82.0,114.0,0.0,86.0,84.0,110.0,100.0
1771501727.2284713,82.0,116.0,0.0,84.0,84.0,110.0,100.0
1771501727.259473,82.0,115.0,0.0,86.0,84.0,110.0,100.0
1771501727.3010092,85.0,117.0,0.0,91.0,81.0,110.0,100.0
1771501727.3340023,85.0,117.0,0.0,91.0,82.0,110.0,100.0
1771501727.3665566,85.0,117.0,0.0,96.0,80.0,110.0,100.0
1771501727.3981051,85.0,118.0,0.0,94.0,81.0,110.0,100.0
1771501727.4291024,84.0,116.0,0.0,95.0,80.0,110.0,100.0
1771501727.462102,84.0,116.0,0.0,93.0,81.0,110.0,100.0
1771501727.4926279,80.0,114.0,0.0,91.0,84.0,110.0,100.0
1771501727.5266244,80.0,115.0,0.0,89.0,84.0,110.0,100.0
1771501727.5566373,80.0,113.0,0.0,91.0,84.0,110.0,100.0
1771501727.5921566,80.0,114.0,0.0,92.0,84.0,110.0,100.0
1771501727.6211498,80.0,115.0,0.0,91.0,83.0,110.0,100.0
1771501727.6531808,80.0,114.0,0.0,92.0,84.0,110.0,100.0
1771501727.6864657,80.0,116.0,0.0,92.0,83.0,110.0,100.0
1771501727.7334666,80.0,116.0,0.0,93.0,83.0,110.0,100.0
1771501727.7684848,78.0,115.0,0.0,92.0,84.0,110.0,99.0
1771501727.8021362,78.0,115.0,0.0,94.0,83.0,110.0,99.0
1771501727.8361542,79.0,115.0,0.0,95.0,82.0,110.0,100.0
1771501727.8671663,79.0,114.0,0.0,96.0,83.0,110.0,99.0
1771501727.8986719,78.0,113.0,0.0,96.0,83.0,110.0,97.0
1771501727.9296703,76.0,113.0,0.0,97.0,84.0,110.0,95.0
1771501727.959744,76.0,113.0,0.0,95.0,84.0,110.0,95.0
1771501727.9908922,77.0,113.0,0.0,95.0,84.0,110.0,96.0
1771501728.026893,77.0,114.0,0.0,95.0,84.0,110.0,98.0
1771501728.0548933,77.0,115.0,0.0,96.0,84.0,110.0,98.0
1771501728.0879319,78.0,115.0,0.0,95.0,83.0,110.0,99.0
1771501728.1219318,81.0,116.0,0.0,97.0,82.0,110.0,100.0
1771501728.1689367,81.0,115.0,0.0,96.0,81.0,110.0,100.0
1771501728.2024472,81.0,114.0,0.0,97.0,82.0,110.0,100.0
1771501728.234446,79.0,113.0,0.0,97.0,84.0,110.0,98.0
1771501728.2634516,80.0,112.0,0.0,97.0,84.0,110.0,98.0
1771501728.2949696,81.0,112.0,0.0,97.0,82.0,110.0,99.0
1771501728.3259635,79.0,112.0,0.0,97.0,84.0,110.0,97.0
1771501728.3589654,80.0,111.0,0.0,98.0,84.0,110.0,97.0
1771501728.3904743,80.0,110.0,0.0,98.0,84.0,110.0,97.0
1771501728.4224753,80.0,110.0,0.0,99.0,83.0,110.0,97.0
1771501728.4584808,82.0,111.0,0.0,98.0,81.0,110.0,100.0
1771501728.4880025,81.0,111.0,0.0,98.0,83.0,110.0,100.0
1771501728.5180092,81.0,111.0,0.0,97.0,82.0,110.0,100.0
1771501728.5520048,80.0,110.0,0.0,97.0,83.0,110.0,100.0
1771501728.6309729,79.0,109.0,0.0,97.0,83.0,110.0,99.0
1771501728.6509705,79.0,109.0,0.0,96.0,83.0,110.0,99.0
1771501728.6814835,79.0,109.0,0.0,97.0,83.0,110.0,98.0
1771501728.712481,77.0,108.0,0.0,97.0,85.0,110.0,97.0
1771501728.7444804,77.0,107.0,0.0,98.0,85.0,110.0,96.0
1771501728.7749937,77.0,107.0,0.0,98.0,85.0,110.0,96.0
1771501728.8069935,76.0,108.0,0.0,98.0,86.0,110.0,95.0
1771501728.8390033,76.0,107.0,0.0,98.0,86.0,110.0,95.0
1771501728.870997,75.0,106.0,0.0,99.0,87.0,110.0,94.0
1771501728.9010625,74.0,105.0,0.0,99.0,87.0,110.0,93.0
1771501728.9331448,73.0,105.0,0.0,99.0,88.0,110.0,92.0
1771501728.9651494,74.0,106.0,0.0,99.0,88.0,110.0,92.0
1771501729.0290194,75.0,107.0,0.0,99.0,88.0,110.0,93.0
1771501729.0620253,75.0,106.0,0.0,99.0,88.0,110.0,94.0
1771501729.0915282,75.0,107.0,0.0,99.0,87.0,110.0,94.0
1771501729.1225297,75.0,106.0,0.0,98.0,87.0,110.0,95.0
1771501729.1530375,76.0,108.0,0.0,98.0,86.0,110.0,96.0
1771501729.1850512,76.0,108.0,12.0,97.0,86.0,110.0,96.0
1771501729.2150512,76.0,108.0,30.0,97.0,86.0,110.0,96.0
1771501729.2470534,77.0,109.0,74.0,96.0,85.0,110.0,95.0
1771501729.277656,78.0,109.0,86.0,95.0,84.0,110.0,96.0
1771501729.310661,78.0,110.0,91.0,94.0,84.0,110.0,96.0
1771501729.3416061,79.0,109.0,100.0,93.0,83.0,110.0,97.0
1771501729.3726325,79.0,109.0,80.0,93.0,83.0,110.0,97.0
1771501729.4137237,80.0,110.0,86.0,93.0,83.0,110.0,98.0
1771501729.4617567,79.0,109.0,79.0,94.0,83.0,110.0,98.0
1771501729.4942796,80.0,110.0,91.0,94.0,84.0,110.0,97.0
1771501729.5252795,79.0,109.0,93.0,94.0,84.0,110.0,97.0
1771501729.5558517,79.0,109.0,89.0,94.0,84.0,110.0,97.0
1771501729.586474,79.0,110.0,77.0,94.0,84.0,110.0,97.0
1771501729.617441,79.0,110.0,88.0,94.0,84.0,110.0,98.0
1771501729.6463463,81.0,111.0,94.0,93.0,83.0,110.0,98.0
1771501729.6803055,80.0,110.0,99.0,93.0,83.0,110.0,98.0
1771501729.7128649,81.0,110.0,97.0,93.0,83.0,110.0,98.0
1771501729.7425914,80.0,110.0,94.0,93.0,84.0,110.0,97.0
1771501729.7791927,80.0,110.0,74.0,93.0,84.0,110.0,97.0
1771501729.8212621,79.0,109.0,89.0,93.0,84.0,110.0,96.0
1771501729.8482742,79.0,109.0,85.0,93.0,85.0,110.0,96.0
1771501729.8957796,78.0,108.0,100.0,93.0,85.0,110.0,95.0
1771501729.929812,79.0,108.0,97.0,93.0,85.0,110.0,95.0
1771501729.9588838,79.0,107.0,92.0,94.0,85.0,110.0,95.0
1771501729.990136,79.0,109.0,100.0,93.0,85.0,110.0,96.0
1771501730.0231285,77.0,108.0,85.0,94.0,85.0,110.0,95.0
1771501730.0541382,79.0,109.0,100.0,93.0,84.0,110.0,96.0
1771501730.0853076,79.0,108.0,100.0,94.0,85.0,110.0,94.0
1771501730.1163304,78.0,108.0,96.0,93.0,86.0,110.0,93.0
1771501730.1483326,79.0,108.0,100.0,93.0,86.0,110.0,94.0
1771501730.1794446,78.0,108.0,100.0,94.0,86.0,110.0,93.0
1771501730.2144344,78.0,108.0,100.0,93.0,85.0,110.0,94.0
1771501730.246443,78.0,107.0,100.0,94.0,86.0,110.0,94.0
1771501730.2779915,78.0,108.0,100.0,93.0,86.0,110.0,94.0
1771501730.3269916,77.0,107.0,100.0,94.0,86.0,110.0,95.0
