t,wrist_pitch_servo,wrist_roll_servo,THUMB_servo,INDEX_servo,MIDDLE_servo,RING_servo,PINKY_servo
1771502161.9514735,85.0,114.0,0.0,0.0,0.0,0.0,0.0
1771502161.983473,85.0,113.0,0.0,0.0,0.0,0.0,0.0
1771502162.0292666,85.0,113.0,0.0,0.0,0.0,0.0,0.0
1771502162.0604975,85.0,114.0,0.0,0.0,0.0,0.0,0.0
1771502162.0934956,85.0,114.0,0.0,0.0,0.0,0.0,0.0
1771502162.1244977,85.0,114.0,0.0,0.0,0.0,0.0,0.0
1771502162.1575315,85.0,114.0,0.0,0.0,0.0,0.0,0.0
1771502162.1891005,85.0,114.0,0.0,0.0,0.0,0.0,0.0
1771502162.220843,86.0,114.0,0.0,0.0,0.0,0.0,0.0
1771502162.2543523,85.0,114.0,0.0,0.0,0.0,0.0,0.0
1771502162.285353,85.0,114.0,0.0,0.0,0.0,0.0,0.0
1771502162.3163607,86.0,114.0,0.0,0.0,0.0,0.0,0.0
1771502162.3499243,86.0,114.0,0.0,0.0,0.0,0.0,0.0
1771502162.3815017,86.0,114.0,0.0,0.0,0.0,0.0,0.0
1771502162.4127247,86.0,114.0,0.0,0.0,0.0,0.0,0.0
1771502162.4452114,85.0,114.0,0.0,0.0,0.0,0.0,0.0
1771502162.480217,86.0,114.0,0.0,0.0,0.0,0.0,0.0
1771502162.5102174,85.0,114.0,0.0,0.0,0.0,0.0,0.0
1771502162.557446,85.0,114.0,0.0,0.0,0.0,0.0,0.0
1771502162.5944717,85.0,114.0,0.0,0.0,0.0,0.0,0.0
1771502162.6214454,85.0,114.0,0.0,0.0,0.0,0.0,0.0
1771502162.6529589,85.0,114.0,0.0,0.0,0.0,0.0,0.0
1771502162.6859717,85.0,114.0,0.0,0.0,0.0,0.0,0.0
1771502162.7169724,85.0,114.0,0.0,0.0,0.0,0.0,0.0
1771502162.749494,85.0,114.0,0.0,1.0,1.0,0.0,0.0
1771502162.7804835,85.0,115.0,0.0,1.0,1.0,0.0,0.0
1771502162.8132768,86.0,115.0,0.0,1.0,1.0,0.0,0.0
1771502162.845679,86.0,115.0,0.0,1.0,2.0,0.0,0.0
1771502162.8796878,86.0,115.0,0.0,1.0,2.0,0.0,0.0
1771502162.9136844,85.0,115.0,0.0,1.0,2.0,0.0,0.0
1771502162.9437094,85.0,115.0,0.0,1.0,2.0,0.0,0.0
1771502162.9903038,85.0,115.0,0.0,1.0,2.0,0.0,0.0
1771502163.0242763,85.0,114.0,0.0,1.0,2.0,0.0,0.0
1771502163.0527995,85.0,114.0,0.0,1.0,2.0,0.0,0.0
1771502163.0849357,86.0,115.0,0.0,1.0,2.0,0.0,0.0
1771502163.118925,86.0,115.0,0.0,1.0,2.0,0.0,0.0
1771502163.149614,86.0,115.0,0.0,2.0,2.0,0.0,0.0
1771502163.1806262,86.0,115.0,0.0,1.0,2.0,0.0,0.0
1771502163.2135632,86.0,115.0,0.0,2.0,2.0,0.0,0.0
1771502163.2446475,86.0,115.0,0.0,1.0,2.0,0.0,0.0
1771502163.276854,85.0,116.0,0.0,1.0,2.0,0.0,0.0
1771502163.3102548,85.0,116.0,0.0,1.0,2.0,0.0,0.0
1771502163.3442037,85.0,116.0,0.0,1.0,2.0,0.0,0.0
1771502163.377747,85.0,116.0,0.0,1.0,2.0,0.0,0.0
1771502163.4218285,85.0,117.0,0.0,1.0,1.0,0.0,0.0
1771502163.4523566,85.0,117.0,0.0,1.0,1.0,0.0,0.0
1771502163.4855077,85.0,117.0,0.0,1.0,1.0,0.0,0.0
1771502163.5158815,85.0,118.0,0.0,1.0,1.0,0.0,0.0
1771502163.5523212,85.0,118.0,0.0,0.0,1.0,0.0,0.0
1771502163.5813286,85.0,118.0,0.0,0.0,1.0,0.0,0.0
1771502163.6133215,85.0,119.0,0.0,0.0,1.0,0.0,0.0
1771502163.644384,85.0,120.0,0.0,0.0,1.0,0.0,0.0
1771502163.676443,86.0,121.0,0.0,0.0,1.0,0.0,0.0
1771502163.708412,86.0,121.0,0.0,0.0,1.0,0.0,0.0
1771502163.7405033,86.0,121.0,0.0,0.0,1.0,0.0,0.0
1771502163.776005,86.0,121.0,0.0,0.0,1.0,0.0,0.0
1771502163.8060055,86.0,121.0,0.0,0.0,1.0,0.0,0.0
